Date, Open, High, Low, Close, Volume
05/05/23, 295.77, 297.02, 294.4625, 296.60, 1815841
05/04/23, 296.06, 296.31, 293.47, 295.16, 2005472
05/03/23, 296.76, 297.2562, 294.65, 295.22, 2425452
05/02/23, 297.37, 298.46, 295.58, 298.07, 2083769
05/01/23, 295.72, 298.80, 295.65, 297.58, 2124401
04/28/23, 294.83, 296.18, 293.91, 295.75, 2838198
04/27/23, 290.72, 295.0499, 290.00, 294.72, 3142286
04/26/23, 289.98, 291.50, 289.76, 289.76, 3289959
04/25/23, 295.00, 295.00, 289.43, 291.51, 5845217
04/24/23, 292.83, 293.43, 291.7101, 293.20, 2995244
04/21/23, 292.32, 292.53, 290.51, 292.06, 2171180
04/20/23, 290.96, 291.67, 289.88, 291.00, 2274152
04/19/23, 290.91, 291.60, 290.19, 291.27, 2254075
04/18/23, 289.40, 291.19, 289.00, 290.91, 2086719
04/17/23, 289.84, 290.51, 288.18, 289.31, 2370988
04/14/23, 289.29, 289.94, 287.62, 288.98, 2054679
04/13/23, 286.57, 289.5399, 286.11, 289.07, 3229280
04/12/23, 283.85, 286.79, 283.50, 285.30, 2557446
04/11/23, 283.17, 285.535, 282.75, 284.48, 2732890
04/10/23, 283.18, 284.1686, 281.99, 283.78, 1942019
04/06/23, 282.43, 283.4881, 281.57, 282.89, 1730953
04/05/23, 283.49, 284.98, 281.78, 282.02, 2600775
04/04/23, 281.41, 283.42, 280.39, 282.28, 2282434
04/03/23, 280.99, 282.87, 279.68, 282.14, 2352716
03/31/23, 278.92, 280.635, 278.50, 279.61, 2902491
03/30/23, 277.26, 278.40, 276.50, 277.79, 1788868
03/29/23, 277.00, 278.15, 276.45, 277.44, 2053558
03/28/23, 273.99, 276.22, 273.51, 275.85, 2035971
03/27/23, 272.00, 274.95, 270.57, 273.84, 2799118
03/24/23, 270.37, 271.83, 268.84, 271.33, 2229368
03/23/23, 267.99, 271.475, 267.99, 269.62, 2263814
03/22/23, 270.04, 271.98, 267.71, 267.87, 2240797
03/21/23, 270.00, 270.8675, 267.62, 270.21, 3120195
03/20/23, 267.84, 271.38, 267.84, 270.74, 2109113
03/17/23, 269.57, 269.97, 265.71, 267.20, 5075300
03/16/23, 265.78, 270.68, 265.505, 270.57, 3098073
03/15/23, 264.58, 266.41, 262.565, 266.34, 3419419
03/14/23, 263.12, 266.94, 262.60, 265.90, 3194391
03/13/23, 260.37, 267.40, 260.37, 263.08, 3552410
03/10/23, 263.73, 266.5799, 261.26, 262.03, 3093072
03/09/23, 267.09, 267.61, 260.865, 261.63, 2339345
03/08/23, 265.86, 266.16, 263.14, 265.33, 2313951
03/07/23, 271.52, 273.15, 266.82, 267.13, 2766688
03/06/23, 269.15, 270.78, 268.90, 270.64, 2217669
03/03/23, 268.42, 269.38, 266.20, 269.07, 2725884
03/02/23, 262.45, 268.46, 262.31, 267.57, 2386008
03/01/23, 262.54, 263.53, 261.68, 262.72, 2058920
02/28/23, 263.14, 264.58, 262.81, 263.91, 2853396
02/27/23, 265.03, 266.30, 263.535, 264.78, 2024791
02/24/23, 265.91, 266.28, 262.25, 263.68, 2645314
02/23/23, 267.70, 267.87, 263.96, 266.78, 4216978
02/22/23, 268.20, 270.48, 267.66, 268.64, 2192035
02/21/23, 269.29, 270.24, 267.61, 268.55, 2824326
02/17/23, 266.30, 270.00, 265.33, 269.99, 3055817
02/16/23, 265.07, 267.71, 263.28, 265.83, 2785588
02/15/23, 266.27, 267.6771, 265.15, 266.56, 1862678
02/14/23, 266.65, 267.52, 264.5921, 266.61, 2202289
02/13/23, 263.70, 266.79, 263.00, 266.20, 2418349
02/10/23, 260.87, 262.69, 260.29, 262.42, 3049897
02/09/23, 263.69, 263.945, 260.19, 260.66, 3534565
02/08/23, 265.09, 265.89, 262.45, 262.82, 2801986
02/07/23, 265.02, 267.77, 263.63, 267.34, 2513954
02/06/23, 264.99, 268.20, 264.36, 267.92, 2863920
02/03/23, 262.63, 265.22, 261.35, 264.23, 3008496
02/02/23, 264.89, 265.98, 262.02, 263.21, 3735643
02/01/23, 267.02, 268.455, 263.50, 266.27, 3557746
01/31/23, 265.09, 267.51, 263.25, 267.40, 5477850
01/30/23, 271.67, 272.57, 270.06, 270.89, 2862378
01/27/23, 275.00, 275.305, 271.97, 272.46, 2203174
01/26/23, 273.00, 274.75, 271.70, 274.72, 2222673
01/25/23, 270.33, 273.07, 268.82, 273.00, 3097376
01/24/23, 261.22, 270.16, 261.22, 269.56, 2517081
01/23/23, 268.84, 271.17, 267.76, 269.29, 2434026
01/20/23, 264.43, 268.65, 262.83, 268.58, 2588648
01/19/23, 266.72, 269.14, 263.53, 263.58, 2845599
01/18/23, 273.51, 274.37, 265.72, 266.04, 3276469
01/17/23, 270.02, 275.3873, 270.02, 274.11, 3640221
01/13/23, 266.39, 268.95, 265.88, 268.89, 2169133
01/12/23, 269.50, 269.92, 266.19, 266.69, 1933090
01/11/23, 269.52, 269.735, 266.96, 268.81, 2391463
01/10/23, 266.98, 269.095, 266.96, 268.91, 1718418
01/09/23, 269.93, 269.95, 266.77, 267.25, 2654561
01/06/23, 263.76, 269.885, 263.392, 269.47, 2855559
01/05/23, 264.76, 264.76, 261.375, 262.16, 1945566
01/04/23, 266.25, 266.55, 262.89, 264.39, 2584148
01/03/23, 263.53, 264.35, 259.51, 264.33, 2743957
12/30/22, 265.20, 265.38, 261.40, 263.53, 1720151
12/29/22, 265.94, 267.81, 264.88, 265.93, 1393998
12/28/22, 268.00, 268.14, 265.07, 265.11, 1427815
12/27/22, 268.66, 268.87, 266.60, 266.84, 1674718
12/23/22, 265.90, 268.345, 264.79, 267.57, 1269060
12/22/22, 267.27, 268.12, 263.65, 265.77, 2366827
12/21/22, 267.48, 269.94, 267.31, 268.16, 2366831
12/20/22, 266.92, 267.94, 264.54, 267.25, 1785563
12/19/22, 266.25, 268.42, 264.67, 265.83, 2160779
