STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT
1001099999,2014-01-01,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",0.28,23,26.8,23,1007.8,23,6.6,23,17.1,6,16.5,23,25.3,999.9,35.1, ,30.6, ,0.0,G,999.9,0
1001099999,2014-01-02,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",1.89,24,30.8,24,998.1,24,996.9,24,8.0,6,17.1,24,25.3,999.9,36.5, ,32.4, ,0.0,G,999.9,11000
1001099999,2014-01-03,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",2.56,24,32.8,24,992.2,24,991.0,24,8.0,6,11.4,24,27.2,999.9,38.1, ,34.2,*,0.01,G,999.9,10000
1001099999,2014-01-04,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",1.56,24,32.1,24,990.8,24,989.6,24,7.1,6,7.7,24,19.4,999.9,40.3, ,31.3,*,0.0,G,999.9,110000
1001099999,2014-01-05,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",1.89,24,32.7,24,989.4,24,988.3,24,6.9,6,17.0,24,27.2,999.9,39.9, ,32.7,*,0.0,G,999.9,11000
1001099999,2014-01-06,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",2.94,24,35.7,24,990.0,24,988.9,24,3.1,6,15.9,24,25.3,999.9,39.7, ,35.2, ,0.1,G,999.9,10000
1001099999,2014-01-07,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",3.22,24,32.9,24,995.3,24,994.2,24,8.6,6,23.7,24,29.1,999.9,39.0, ,36.3, ,0.13,G,999.9,10000
1001099999,2014-01-08,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",1.56,24,28.9,24,1011.0,24,9.8,24,9.8,6,16.6,24,29.1,999.9,37.0, ,31.8,*,0.0,G,999.9,11000
1001099999,2014-01-09,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",0.61,24,26.7,24,1016.6,24,15.4,24,14.0,6,7.8,23,13.6,999.9,34.3, ,31.5, ,0.0,G,999.9,0
1001099999,2014-01-10,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",0.56,24,29.7,24,1015.1,24,13.9,24,10.3,6,8.2,24,13.6,999.9,34.0, ,31.5,*,0.0,G,999.9,0
1001099999,2014-01-11,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",0.11,24,29.8,24,1014.9,24,13.7,24,9.4,6,6.7,24,11.7,999.9,33.4,*,30.9,*,0.02,G,999.9,11000
1001099999,2014-01-12,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",-0.11,24,28.1,24,1020.2,24,19.0,24,11.4,6,7.2,24,17.5,999.9,33.8, ,29.5,*,0.03,G,999.9,0
1001099999,2014-01-13,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",-0.06,23,26.6,23,1023.4,23,22.2,23,15.5,5,13.7,23,21.4,999.9,33.3, ,28.9, ,0.0,G,999.9,1010
1001099999,2014-01-14,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",-0.94,23,24.7,23,1016.7,23,15.5,23,14.6,6,14.7,23,21.4,999.9,32.2,*,26.8,*,0.0,G,999.9,0
1001099999,2014-01-15,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",-0.22,24,28.7,24,1010.1,24,8.9,24,7.3,6,5.3,24,11.7,999.9,35.4,*,27.5,*,0.0,G,999.9,11000
1001099999,2014-01-16,70.9333333,-8.6666667,9.0,"JAN MAYEN NOR NAVY, NO",1.22,24,31.3,24,1009.2,24,8.0,24,9.6,6,10.6,24,19.4,999.9,35.8,*,32.5,*,0.09,G,999.9,11000
